Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
ygfS	b2886	3028524	3029012	putative electron transport protein YgfS	ECK2881	ygfS // b2886 // ECK2881	G7505		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane	4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding	ygfTS
fes	b0585	612737	613939	ferric enterobactin esterase	ECK0577	fes // b0585 // ECK0577	EG10299		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	iron ion transport // siderophore-dependent iron import into cell // enterobactin catabolic process	cytoplasm // cytosol	hydrolase activity // iron ion binding // enterochelin esterase activity	fes-ybdZ-entF-fepE
prc	b1830	1912768	1914816	tail-specific protease	ECK1829	prc // tsp // b1830 // ECK1829	EG10760		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	signal transduction // protein catabolic process // response to antibiotic // proteolysis	plasma membrane // membrane // outer membrane-bounded periplasmic space	serine-type endopeptidase activity // hydrolase activity // peptidase activity // endopeptidase activity // serine-type peptidase activity // protein binding	proQ-prc
trhP	b2081	2165668	2167029	tRNA wobble base hydroxylation protein TrhP	ECK2077	trhP // yegQ // b2081 // ECK2077	G7118		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cellular biosynthetic process // organic substance biosynthetic process // tRNA processing // tRNA modification // proteolysis // tRNA wobble uridine modification	cytosol	hydrolase activity // peptidase activity	trhP
dosP	b1489	1563334	1565733	oxygen-sensing c-di-GMP phosphodiesterase DosP	ECK1483	dosP // yddU // dos // pdeO // b1489 // ECK1483	G6783		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to stimulus // response to oxygen levels	plasma membrane	oxygen sensor activity // metal ion binding // hydrolase activity // protein homodimerization activity // protein binding // cyclic-guanylate-specific phosphodiesterase activity // heme binding // magnesium ion binding	dosCP
ygcO	b2767	2893919	2894179	putative 4Fe-4S cluster-containing protein	ECK2762	ygcO // b2767 // ECK2762	G7433		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA-mediated transformation	cytosol	iron ion binding // iron-sulfur cluster binding // metal ion binding	ygcNOP
cpxR	b3912	4104972	4105670	CpxR-phosphorylated // DNA-binding transcriptional dual regulator CpxR	ECK3905	cpxR // yiiA // b3912 // ECK3905	EG10020	ettA // yacH // ygjR // yncE // dgt // mtn // dsbG // gstA // inaA // casA // ampH // exbB // cspA // gapC // yibN // gpmM // pflB // focA // chaA // atpB // frc // atpI // hcp // yddG // fdnG // epmB // edd // metC // carA // carB // ompC // baeR // baeS // mdtD // mdtC // mdtB // mdtA // dsbC // yidQ // cpxQ // cpxP // cpxA // cpxR // dsbA // srkA // ppiA // yjfN // rpoH // slt // mzrA // yqjA // bacA // kbp // yqaE // ftnB // yebE // spy // marR // marA // marB // rprA // dgcZ // ldtC // yccA // ldtD // aroG // tomB // hha // ppiD // yaiW // sbmA // lpxA // fabZ // lpxD // skp // degP // acrD	b4391 // b0117 // b3087 // b1452 // b0160 // b0159 // b0604 // b1635 // b2237 // b2760 // b0376 // b3006 // b3556 // b4493 // b3611 // b3612 // b0903 // b0904 // b1216 // b3738 // b2374 // b3739 // b0873 // b1473 // b1474 // b4146 // b1851 // b3008 // b0032 // b0033 // b2215 // b2079 // b2078 // b2077 // b2076 // b2075 // b2074 // b2893 // b3688 // b4716 // b4484 // b3911 // b3912 // b3860 // b3859 // b3363 // b4188 // b3461 // b4392 // b3096 // b3095 // b3057 // b2665 // b2666 // b1902 // b1846 // b1743 // b1530 // b1531 // b1532 // b4431 // b1535 // b1113 // b0970 // b0925 // b0754 // b0461 // b0460 // b0441 // b0378 // b0377 // b0181 // b0180 // b0179 // b0178 // b0161 // b2470	astC // yhdJ // fimB // plsB // fadI // qmcA // yfaH // shoB // feaR // matA // cbl // pdeB // btsT // ascF // galP // fadE // gmhA // frmB // eamA // ydeE // xylE // chaB // acs // appC // yhdW // glsA // nuoA // sdhC // csgG // csgF // csgE // csgD // ompF // csgC // csgB // csgA // tsr // bamE // ung // rseD // rseC // rseB // rseA // rpoE // cyaR // motR // cheW // cheA // motB // motA // mscM // psd // efeU	b1748 // b3262 // b4312 // b4041 // b2342 // b0489 // b2238 // b4687 // b1384 // b0294 // b1987 // b0457 // b4354 // b2715 // b2943 // b0221 // b0222 // b0355 // b1533 // b1534 // b4031 // b1217 // b4069 // b0978 // b3268 // b0485 // b2288 // b0721 // b1037 // b1038 // b1039 // b1040 // b0929 // b1043 // b1041 // b1042 // b4355 // b2617 // b2580 // b4725 // b2570 // b2571 // b2572 // b2573 // b4438 // b4828 // b1887 // b1888 // b1889 // b1890 // b4159 // b4160 // b4490	cell adhesion // regulation of cell-substrate adhesion // regulation of DNA-templated transcription // phosphorelay signal transduction system // negative regulation of DNA-templated transcription // positive regulation of DNA-templated transcription	protein-DNA complex // cytoplasm // cytosol	transcription cis-regulatory region binding // phosphorelay response regulator activity // protein binding // DNA binding // DNA-binding transcription factor activity	cpxRA // cpxRA
mdlA	b0448	468871	470643	ABC transporter family protein MdlA	ECK0442	mdlA // mdl // b0448 // ECK0442	G6248		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // xenobiotic export from cell	membrane // plasma membrane	ATP hydrolysis activity // ABC-type transporter activity // ATPase-coupled transmembrane transporter activity // ABC-type xenobiotic transporter activity // nucleotide binding // ATP binding	mdlAB
yfeY	b2432	2550641	2551216	DUF1131 domain-containing lipoprotein YfeY	ECK2427	yfeY // b2432 // ECK2427	G7267		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yfeYX
yfdY	b2377	2495050	2495292	DUF2545 domain-containing protein YfdY	ECK2373	yfdY // b2377 // ECK2373	G7240		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		yfdY
sufC	b1682	1761766	1762512	Fe-S cluster scaffold complex subunit SufC	ECK1678	sufC // ynhD // b1682 // ECK1678	G6908		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to radiation // iron-sulfur cluster assembly	cytoplasm // iron-sulfur cluster assembly complex // cytosol	ATP hydrolysis activity // protein binding // ATP binding // nucleotide binding	sufABCDSE
yfeW	b2430	2548102	2549406	penicillin binding protein 4B	ECK2425	yfeW // b2430 // ECK2425	G7265		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	membrane // plasma membrane // outer membrane-bounded periplasmic space	hydrolase activity // peptidase activity // carboxypeptidase activity // serine-type D-Ala-D-Ala carboxypeptidase activity // penicillin binding	murQP-yfeW
tyrU	b3977	4175472	4175556	tRNA-Tyr(GUA)	ECK3968	tyrU // sup15B // supM // supZ // b3977 // ECK3968	EG30107		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	thrU-tyrU-glyT-thrT-tufB
uspA	b3495	3640111	3640545	universal stress protein A	ECK3480	uspA // b3495 // ECK3480	EG11390		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // cytosol // cytoplasm	protein homodimerization activity // identical protein binding	uspA // uspA // uspA
yegJ	b2071	2151185	2151646	DUF2314 domain-containing protein YegJ	ECK2065	yegJ // b2071 // ECK2065	G7110		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yegJ
hslV	b3932	4121757	4122287	peptidase component of the HslVU protease	ECK3924	hslV // yiiC // clpQ // htpO // b3932 // ECK3924	EG11676		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	protein denaturation // cellular response to heat // protein catabolic process // metabolic process // response to heat // proteolysis // proteolysis involved in protein catabolic process	cytoplasm // proteasome core complex // HslUV protease complex // cytosol	ATP-dependent peptidase activity // protein domain specific binding // ATP binding // magnesium ion binding // identical protein binding // protein binding // catalytic activity // metal ion binding // hydrolase activity // peptidase activity // threonine-type endopeptidase activity	hslVU
fepG	b0589	620196	621188	ferric enterobactin ABC transporter membrane subunit FepG	ECK0582	fepG // b0589 // ECK0582	EG10298		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // iron ion transport // iron import into cell // siderophore-dependent iron import into cell // monoatomic ion transport // ferric-enterobactin import into cell	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	transmembrane transporter activity // ferric-enterobactin transmembrane transporter activity	fepDGC // fepDGC
ves	b1742	1824362	1824937	HutD family protein Ves	ECK1740	ves // ydjR // b1742 // ECK1740	G6938		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cellular response to cold			ves
ydjZ	b1752	1834808	1835515	DedA family protein YdjZ	ECK1750	ydjZ // b1752 // ECK1750	G6947		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		ydjXYZ-ynjABCD
iscA	b2528	2659563	2659886	iron-sulfur cluster insertion protein IscA	ECK2525	iscA // yfhF // b2528 // ECK2525	EG12132		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	protein maturation by iron-sulfur cluster transfer // iron-sulfur cluster assembly	iron-sulfur cluster transfer complex // cytoplasm // cytosol	iron-sulfur cluster binding // metal ion binding // iron ion binding // 2 iron, 2 sulfur cluster binding // ferrous iron binding // iron chaperone activity // protein binding	iscRSUA
pepN	b0932	990622	993234	aminopeptidase N	ECK0923	pepN // b0932 // ECK0923	EG10696		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	plasma membrane // membrane	protein binding // identical protein binding // hydrolase activity // peptidase activity // metal ion binding // metallopeptidase activity // aminopeptidase activity // zinc ion binding	pepN
pheV	b2967	3110366	3110441	tRNA-Phe(GAA)	ECK2962	pheV // pheC // b2967 // ECK2962	EG30065		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	pheV
bhsA	b1112	1169073	1169330	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	ECK1098	bhsA // ycfR // comC // b1112 // ECK1098	G6570		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	single-species biofilm formation // response to copper ion // response to stress	membrane // cell outer membrane		bhsA // bhsA
ydfZ	b1541	1629215	1629418	putative selenoprotein YdfZ	ECK1534	ydfZ // b1541 // ECK1534	G6815		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol		ydfZ
ftsH	b3178	3325001	3326935	ATP-dependent zinc metalloprotease FtsH	ECK3167	ftsH // std // hflB // mrsC // tolZ // b3178 // ECK3167	EG11506		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	protein catabolic process // proteolysis	plasma membrane protein complex // membrane // membrane protein complex // plasma membrane	ATP hydrolysis activity // metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // nucleotide binding // protein binding // ATP-dependent peptidase activity // metalloendopeptidase activity // zinc ion binding // ATP binding	rlmE-ftsH // rlmE-ftsH
cpxA	b3911	4103602	4104975	sensor histidine kinase CpxA	ECK3904	cpxA // rssE // ecfB // eup // ssd // ecf // b3911 // ECK3904	EG10163		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cellular response to stimulus // phosphorelay signal transduction system // cell adhesion // cell adhesion involved in biofilm formation // phosphorylation // signal transduction // cellular response to cell envelope stress // response to radiation // peptidyl-histidine phosphorylation // protein autophosphorylation	membrane // plasma membrane	identical protein binding // transferase activity, transferring phosphorus-containing groups // transferase activity // kinase activity // protein histidine kinase activity // nucleotide binding // ATP binding // phosphoprotein phosphatase activity // protein binding // phosphorelay sensor kinase activity	cpxRA // cpxRA
ymfA	b1122	1181264	1181725	putative inner membrane protein YmfA	ECK1108	ymfA // b1122 // ECK1108	G6579		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	bacterial-type flagellum-dependent swarming motility	membrane // plasma membrane		ymfA-ycfZ
hslJ	b1379	1441321	1441743	lipoprotein implicated in Novobiocin resistance	ECK1376	hslJ // ydbI // b1379 // ECK1376	G6702		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to heat	membrane		hslJ
cyaY	b3807	3993739	3994059	frataxin CyaY	ECK3801	cyaY // b3807 // ECK3801	EG11653		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	intracellular iron ion homeostasis // iron-sulfur cluster assembly	cytoplasm // cytosol	iron chaperone activity // 2 iron, 2 sulfur cluster binding // ferroxidase activity // metal ion binding // iron ion binding // protein binding // ferric iron binding // ferrous iron binding	cyaY
ompT	b0565	584680	585633	DLP12 prophage; omptin family outer membrane protease OmpT	ECK0557	ompT // b0565 // ECK0557	EG10673		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	membrane // cell outer membrane	hydrolase activity // peptidase activity // serine-type endopeptidase activity // endopeptidase activity // aspartic-type endopeptidase activity	ompT // envY-ompT
leuQ	b4370	4606315	4606401	tRNA-Leu(CAG)	ECK4361	leuQ // leuVgamma // b4370 // ECK4361	EG30048		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol // cytoplasm	triplet codon-amino acid adaptor activity	leuQPV
